frame,ground_truth,predicted,error,abs_error,tier
12360,3,2,-1,1,LOW
12420,3,1,-2,2,LOW
12480,3,1,-2,2,LOW
12540,3,2,-1,1,LOW
12600,3,2,-1,1,LOW
12660,3,3,0,0,LOW
12720,3,3,0,0,LOW
12780,3,3,0,0,LOW
12840,3,2,-1,1,LOW
12867,3,0,-3,3,LOW
